"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","will","thing","economi","guid","mind","govern","nation","law","war","capac","justic","civil","spirit","will","congress"
"2","peopl","men","tax","alik","stand","state","world","constitut","forc","common","govern","republ","power","america","busi"
"3","upon","day","day","mighti","servic","union","can","shall","commerc","conflict","progress","war","howev","american","law"
"4","nation","life","destroy","along","various","constitut","freedom","servic","equal","equal","american","inspir","presid","time","race"
"5","govern","like","back","scienc","counsel","power","peopl","case","defens","purpos","mani","servic","execut","new","expenditur"
"6","great","great","begin","blood","exampl","preserv","peac","littl","improv","issu","econom","task","legisl","let","must"
"7","countri","good","feder","stranger","first","institut","must","slaveri","late","shore","advanc","materi","liberti","today","tariff"
"8","can","hand","done","honest","univers","form","hope","wit","sinc","skill","ideal","understand","bodi","now","trade"
"9","may","see","opportun","sum","integr","opinion","know","friend","whose","dollar","enforc","order","given","work","proper"
"10","shall","part","return","drawn","acknowledg","protect","free","let","commenc","adopt","law","world","member","one","legisl"
"11","public","look","dare","pray","gratitud","exist","human","assum","work","everi","system","presenc","grant","everi","need"
"12","duti","wealth","doubt","friend","virtu","object","live","now","proof","possibl","cooper","industri","citizen","togeth","enterpris"
"13","state","whether","issu","globe","religion","author","need","mere","regul","color","concern","standard","appear","presid","american"
"14","everi","cost","hero","pass","public","one","come","surrend","river","depart","activ","call","charact","year","labor"
"15","right","moment","pay","fate","rever","happi","life","slave","everi","moral","agenc","promot","measur","citizen","revenu"
"16","interest","light","sovereignti","brave","fulfil","principl","new","plain","great","profess","determin","suprem","patriot","govern","protect"
"17","power","heart","put","countrymen","render","may","help","moral","especi","reason","whole","prove","constitut","great","increas"
"18","must","voic","struggl","offens","station","right","way","possibl","naval","paid","instrument","soldier","former","centuri","like"
"19","time","thought","union","far","reflect","fellowcitizen","histori","labor","differ","undertaken","moral","relationship","produc","must","chang"
"20","unit","without","within","trust","sentiment","limit","man","hold","soon","deal","within","seen","privileg","make","appoint"
